1) su dung app lien tuc,,,,,,,
CID,group_id,date_record,time_from,time_to,real_time_spent,real_time_spent (hh:mm),app_use
6v7yqf7zkeo0,,7/8/2021,16:27,16:50,24,0:23,youtube 
6v7yqf7zkeo0,,7/8/2021,17:00,17:22,23,0:22,zingmp3
6v7yqf7zkeo0,,7/8/2021,17:01,17:14,14,0:13,nhaccuatui
6v7yqf7zkeo0,,7/8/2021,17:17,17:32,16,0:15,zalo
6v7yqf7zkeo0,,7/12/2021,20:16,20:30,15,0:14,viber
6v7yqf7zkeo0,,7/12/2021,20:31,20:42,12,0:11,facebook 
6v7yqf7zkeo0,,7/12/2021,20:50,21:09,20,0:19,instagram
6v7yqf7zkeo0,,7/12/2021,21:10,21:35,26,0:25,spotify
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
